0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
pesquisa,revela,que,86,dos,venezuelanos,rejeitam,intervenção,militar,httpswww,esmaelmoraiscombr201902pesqui,sarevelaque86dosvenezuelanosrejeitamintervencaomilitar,parabéns,a,europa,e,todos,países,que,não,aceitam,guerrear,fora,trumpp,e,renuncia,já,da,quadrilha,de,brasilia,,,,,,,,,,,,,,,,,,,,,,,,,
liberdade,para,nossos,irmãos,venezuelanos,fora,maduro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexandregarcia,boa,tarde,admiro,muito,teu,trabalho,você,deveria,estar,na,equipe,do,presidente,me,tire,uma,dúvida,se,a,turma,da,esquerda,corre,o,mundo,para,que,os,de,fora,interfiram,em,nosso,país,pq,dizem,que,nós,não,devemos,ajudar,o,povo,venezuelanos,,,,,,,,,,,
uma,representante,da,classe,artística,brasileira,demonstrando,profunda,preocupação,com,a,situação,dos,irmãos,venezuelanos,resolve,colocar,os,peitos,de,fora,e,fazer,a,sua,parte,para,ajudar,pictwittercommpxbsht724,,,,,,,,,,,,,,,,,,,,,,,,,,,
conheci,um,casal,de,venezuelanos,que,está,há,nove,meses,no,brasil,ambos,estão,encantados,com,fortaleza,e,com,o,que,há,de,comum,nas,duas,culturas,ver,a,animação,dos,dois,em,reconstruir,a,vida,fora,de,seu,país,de,origem,emociona,,,,,,,,,,,,,
a,esquerda,reclamando,da,doação,de,mantimentos,os,conservadores,sentindo,pena,dos,venezuelanos,vamos,pensar,fora,da,caixa,todas,grandes,nações,ganham,em,guerras,e,crises,políticas,vamos,vender,tudo,oque,o,maduro,quer,no,valor,do,mercado,da,zona,sul,,,,,,,,,,,,,,,
os,irmãos,venezuelanos,vivem,um,surto,de,depreciação,e,suicídios,sem,precedentes,naquele,país,é,um,dado,que,costuma,ficar,fora,da,grande,mídia,esse,maduro,ja,amadureceu,o,suficiente,pra,httpswww,instagramcompbutqzmjfdf,utm_sourceig_twitter_shareigshid1bjy7dy08l4k,,,,,,,,,,,,,,,,,,,,,,
os,mesmos,bolsominions,que,estão,falando,que,estão,indignados,com,o,fechamento,da,fronteira,foram,os,mesmos,que,antes,expulsou,e,agrediu,venezuelanos,colocando,pra,fora,do,país,aqueles,patriotas,de,condomínio,hipócrita,,,,,,,,,,,,,,,,,,,,,,,
soberania,se,os,venezuelanos,elegeram,maduro,e,preferem,negociar,com,china,e,rússia,o,quê,os,sapos,de,fora,tem,a,ver,com,isso,cada,um,cuida,da,sua,vida,,,,,,,,,,,,,,,,,,,,,,,,,,
aqui,não,falta,comida,passe,pelo,centro,do,rj,no,fim,do,dia,e,vc,verá,sacos,e,sacos,de,comida,jogados,fora,aqui,é,má,httpxndistribuion5a1cna,distribuiçãona,venezuela,não,tem,de,modo,que,eles,estão,vindo,pra,cá,venezuelanos,amariam,viver,numa,favela,brasileira,e,ter,a,possibilidade,de,comer,,,,,
atenção,guerra,custa,muito,dinheiro,n,torçam,para,q,o,brasil,entre,em,conflito,vai,ser,um,custo,enorme,e,pago,muito,provavelmente,por,nós,quando,não,será,cobrado,dos,miseráveis,venezuelanos,q,já,nem,podem,se,manter,me,diará,bancar,as,custas,desta,ação,fora,as,mortes,,,,,,,,
o,mais,sinistro,é,a,pessoa,se,preocupar,com,a,venezuela,e,não,com,a,violência,policial,que,ocorre,no,seu,país,vc,também,se,revoltou,qdo,os,brasileiros,de,bem,atearam,fogo,no,acampamento,dos,venezuelanos,no,brasil,,,,,,,,,,,,,,,,,
na,verdade,o,sofrimento,do,povo,tem,de,convencer,o,exército,a,abandonar,o,ditador,os,venezuelanos,é,que,terão,de,resolver,o,problema,de,fora,só,muita,pressão,e,asfixia,no,maduro,,,,,,,,,,,,,,,,,,,,,,,
esse,lixo,vai,entrar,para,a,história,como,assassino,do,próprio,povo,fora,maduro,liberdade,para,nossos,irmãos,venezuelanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,que,o,roger,fala,tem,que,deixar,os,próprios,venezuelanos,arrumar,a,situação,e,os,eua,deveriam,ficar,de,fora,dessa,merda,o,que,entendem,que,ele,fala,boa,maduro,eu,te,amo,,,,,,,,,,,,,,,,,,,,,,
se,informa,melhor,pega,aqui,esses,print,de,facebook,de,gente,sem,embasamento,nenhum,e,sem,fonte,alguma,sobre,o,assunto,enquanto,tem,grupos,de,venezuelanos,fazendo,protestos,no,mundo,inteiro,fora,a,onda,de,protestos,contra,o,maduro,,,,,,,,,,,,,,,,,
não,vou,duvidar,ainda,mais,com,essa,situação,da,nossa,fronteira,com,a,venezuela,fora,que,2,militares,venezuelanos,foram,encontrados,nas,matas,do,brasil,dizendo,que,são,foragidos,eu,não,confio,eles,podem,estar,passando,informações,daqui,para,lá,httpswww,facebookcomstoryphpstor,y_fbid1706324976179554id100004062054330,,,,,,,,,,,,,
é,uma,questão,de,fronteira,e,fora,que,os,nossos,vizinhos,venezuelanos,estão,morrendo,pela,ditadura,de,maduro,o,estado,de,roraima,vive,um,caos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mas,não,vai,se,envolver,com,a,venezuelanos,fora,onu,comunista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
os,mesmos,que,gritaram,fora,venezuelanos,ao,som,do,hino,nacional,são,os,mesmos,que,choram,pelo,povo,sofrido,da,venezuela,é,muita,hipocrisia,esse,brasil,que,está,se,sentindo,a,última,cocacola,do,deserto,me,enoja,,,,,,,,,,,,,,,,,,,
como,cristão,aprendi,que,não,devemos,julgar,ninguémisso,é,coisa,de,deus,apenas,penso,que,os,problemas,da,venezuela,devem,ser,resolvida,pelos,venezuelanos,e,não,por,outros,de,fora,que,só,se,interessam,pelo,petróleo,pelo,gás,pelo,ouro,e,por,suas,riquezas,e,não,por,seu,povo,,,,,,,
para,de,mentir,rapá,a,esmagadora,maioria,dos,venezuelanos,quer,maduro,fora,ou,melhor,preso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,militares,venezuelanos,desertaram,pela,fronteira,com,o,brasil,isso,mostra,que,aos,poucos,o,ditador,sanguinario,nicolas,maduro,está,perdendo,o,comando,de,seu,exercito,e,em,breve,ele,vair,cair,fora,maduro,https,g1globocomrrroraimanot,icia20190224militaresvenezuelanosdesertampelafronteiracomobrasilghtml,,,,,,,,,,,,,,,,,,,
meu,deus,tenha,misericórdiaainda,tem,professora,duniversidade,o,salário,de,40,mil,fora,as,vantagens,falou,qo,maduro,merece,respeito,dtodosesses,idiotas,cesses,salários,vai,vê,os,pobres,miseráveis,venezuelanos,esquelético,como,esse,aíessa,idiota,deveria,ir,morar,nvenezuela,https,twittercomteixeiradeia2,status1099799006287482880,,,,,,,,,,,,,,
imagina,a,miséria,que,os,levou,a,abandonar,seu,país,a,fome,e,humilhação,em,que,fora,e,estão,ainda,sendo,impostas,as,pessoas,por,um,ditador,os,venezuelanos,mais,do,que,ninguém,torcem,para,que,este,pesadelo,acabe,o,mais,rápido,possível,,,,,,,,,,,,,
tem,um,vídeo,carlazambelli17,onde,venezuelanos,gravaram,e,dizendo,que,a,gnb,estava,matando,um,homem,vários,tiros,dispararamesperamos,que,o,ditador,maduro,caia,fora,ou,que,tirem,ele,o,mais,rápido,possível,pois,mortes,estão,ocorrendo,,,,,,,,,,,,,,,,,,,
eu,acho,que,o,maduro,é,problema,dos,venezuelanos,não,meu,seu,ou,do,trump,e,me,lembraram,ontem,do,que,houve,no,haiti,tô,fora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
talvez,porque,muitos,venezuelanos,orem,todo,dia,pedindo,a,deus,que,algum,país,la,fora,ajudasse,o,povo,já,que,ninguém,dentro,do,país,foi,capaz,de,conter,essa,ditadura,socialista,que,mata,o,povo,de,fome,,,,,,,,,,,,,,,,,,,
globo,lixo,defendendo,que,o,brasil,fique,de,fora,do,problema,o,problema,é,nosso,tb,vários,venezuelanos,vem,pro,brasil,todos,os,dias,e,alguns,brasileiros,dependem,do,combustível,que,vem,de,lá,,,,,,,,,,,,,,,,,,,,,,
você,não,respondeu,quem,paga,a,conta,do,brasileiros,que,moram,fora,do,brasil,a,maioria,dos,venezuelanos,preferem,países,vizinhos,para,morarem,o,brasil,é,rota,de,fuga,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,unem,fora,e,deixam,os,venezuelanos,morrerem,lá,dentro,é,como,deixar,o,marido,matar,a,mulher,dentro,de,casa,enquanto,ficam,os,vizinhos,olhando,do,lado,de,fora,ridículos,,,,,,,,,,,,,,,,,,,,,,,,,
fora,que,estaria,agora,doando,tudo,nosso,para,os,venezuelanos,inclusive,nossa,soberania,https,twittercomcarlosbolsonar,ostatus1099725426899980289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,conhecido,personagem,da,história,a,lavar,s,mãos,foi,pilatos,s,pusilanimidade,levou,pa,cruz,a,verdade,o,caminho,a,vida,vc,propõe,q,o,brasil,nã,veja,a,verdade,da,crueldade,o,caminho,pa,libertação,e,voltar,a,dar,vida,aos,irmãos,venezuelanos,jogue,fora,sua,caneta,,,,,,,
tá,começando,a,deserção,jaja,o,maduro,vai,receber,força,do,exército,russo,já,que,os,próprios,venezuelanos,estarão,fora,se,quiser,continuar,com,essa,insanidade,claro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qualquer,interesse,político,econômico,que,venha,pra,derrubar,maduro,é,bemvindo,todos,ganharíamos,com,maduro,fora,do,continente,brasileiros,e,venezuelanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liberdade,para,nossos,irmãos,venezuelanos,fora,maduro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esse,caso,precisa,ser,resolvido,com,a,formação,e,convocação,de,todos,venezuelanos,mundo,a,fora,para,vestirem,a,farda,e,formar,o,exército,oficial,de,juan,guaidó,a,america,latina,usa,dará,apoio,entrar,e,limpar,não,pode,deixar,ficar,como,no,brasil,,,,,,,,,,,,
o,brasil,tá,passando,vergonha,lá,fora,soldados,venezuelanos,atiram,com,armas,de,fogo,e,bomba,de,gás,no,nosso,território,e,esse,governo,que,na,época,da,eleição,se,dizia,os,macho,não,fazem,nada,estão,sendo,realmente,uns,covardes,ainda,bem,q,tem,aquele,ditadoquem,late,mt,nada,faz,,,,,
liberdade,para,nossos,irmãos,venezuelanos,fora,maduro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,brasil,tá,passando,vergonha,lá,fora,soldados,venezuelanos,atiram,com,armas,de,fogo,e,bomba,de,gás,no,nosso,território,e,esse,governo,que,na,época,da,eleição,se,dizia,os,macho,não,fazem,nada,estão,sendo,realmente,uns,covardes,ainda,bem,q,tem,aquele,ditadoquem,late,mt,nada,faz,,,,,
o,brasil,tá,passando,vergonha,lá,fora,soldados,venezuelanos,atiram,com,armas,de,fogo,e,bomba,de,gás,no,nosso,território,e,esse,governo,que,na,época,da,eleição,se,dizia,os,macho,não,fazem,nada,estão,sendo,realmente,uns,covardes,ainda,bem,q,tem,aquele,ditadoquem,late,mt,nada,faz,,,,,
o,brasil,tá,passando,vergonha,lá,fora,soldados,venezuelanos,atiram,com,armas,de,fogo,e,bomba,de,gás,no,nosso,território,e,esse,governo,que,na,época,da,eleição,se,dizia,os,macho,não,fazem,nada,estão,sendo,realmente,uns,covardes,ainda,bem,q,tem,aquele,ditadoquem,late,mt,nada,faz,,,,,
o,brasil,tá,passando,vergonha,lá,fora,soldados,venezuelanos,atiram,com,armas,de,fogo,e,bomba,de,gás,no,nosso,território,e,esse,governo,que,na,época,da,eleição,se,dizia,os,macho,não,fazem,nada,estão,sendo,realmente,uns,covardes,ainda,bem,q,tem,aquele,ditadoquem,late,mt,nada,faz,,,,,
o,brasil,tá,passando,vergonha,lá,fora,soldados,venezuelanos,atiram,com,armas,de,fogo,e,bomba,de,gás,no,nosso,território,e,esse,governo,que,na,época,da,eleição,se,dizia,os,macho,não,fazem,nada,estão,sendo,realmente,uns,covardes,ainda,bem,q,tem,aquele,ditadoquem,late,mt,nada,faz,,,,,
o,brasil,tá,passando,vergonha,lá,fora,soldados,venezuelanos,atiram,com,armas,de,fogo,e,bomba,de,gás,no,nosso,território,e,esse,governo,que,na,época,da,eleição,se,dizia,os,macho,não,fazem,nada,estão,sendo,realmente,uns,covardes,ainda,bem,q,tem,aquele,ditadoquem,late,mt,nada,faz,,,,,
o,brasil,tá,passando,vergonha,lá,fora,soldados,venezuelanos,atiram,com,armas,de,fogo,e,bomba,de,gás,no,nosso,território,e,esse,governo,que,na,época,da,eleição,se,dizia,os,macho,não,fazem,nada,estão,sendo,realmente,uns,covardes,ainda,bem,q,tem,aquele,ditadoquem,late,mt,nada,faz,,,,,
o,brasil,tá,passando,vergonha,lá,fora,soldados,venezuelanos,atiram,com,armas,de,fogo,e,bomba,de,gás,no,nosso,território,e,esse,governo,que,na,época,da,eleição,se,dizia,os,macho,não,fazem,nada,estão,sendo,realmente,uns,covardes,ainda,bem,q,tem,aquele,ditadoquem,late,mt,nada,faz,,,,,
o,brasil,tá,passando,vergonha,lá,fora,soldados,venezuelanos,atiram,com,armas,de,fogo,e,bomba,de,gás,no,nosso,território,e,esse,governo,que,na,época,da,eleição,se,dizia,os,macho,não,fazem,nada,estão,sendo,realmente,uns,covardes,ainda,bem,q,tem,aquele,ditadoquem,late,mt,nada,faz,,,,,
o,brasil,tá,passando,vergonha,lá,fora,soldados,venezuelanos,atiram,com,armas,de,fogo,e,bomba,de,gás,no,nosso,território,e,esse,governo,que,na,época,da,eleição,se,dizia,os,macho,não,fazem,nada,estão,sendo,realmente,uns,covardes,ainda,bem,q,tem,aquele,ditadoquem,late,mt,nada,faz,,,,,
o,brasil,tá,passando,vergonha,lá,fora,soldados,venezuelanos,atiram,com,armas,de,fogo,e,bomba,de,gás,no,nosso,território,e,esse,governo,que,na,época,da,eleição,se,dizia,os,macho,não,fazem,nada,estão,sendo,realmente,uns,covardes,ainda,bem,q,tem,aquele,ditadoquem,late,mt,nada,faz,,,,,
liberdade,para,nossos,irmãos,venezuelanos,fora,maduro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,brasil,tá,passando,vergonha,lá,fora,soldados,venezuelanos,atiram,com,armas,de,fogo,e,bomba,de,gás,no,nosso,território,e,esse,governo,que,na,época,da,eleição,se,dizia,os,macho,não,fazem,nada,estão,sendo,realmente,uns,covardes,ainda,bem,q,tem,aquele,ditadoquem,late,mt,nada,faz,,,,,
não,acredito,nesse,abandono,do,putin,ele,tem,aqui,um,cenário,perfeito,pra,guerra,que,ele,almeja,há,tempo,uma,grande,guerra,fora,do,eixo,europeu,com,o,mínimo,de,prejuízos,pro,hemisfério,norte,mas,isso,se,cairmos,nesta,arapuca,criada,pelos,vermelhos,oremos,pelos,venezuelanos,,,,,,,,,,
suspendam,tudo,fechem,a,fronteira,tmb,expulsem,estes,venezuelanos,que,estão,no,brasil,trazendo,doença,discórdia,chega,fora,venezuelanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esta,parada,na,venezuela,quem,tem,que,resolver,são,os,venezuelanos,eles,criaram,o,problema,fodamse,nada,da,intromissão,de,nenhum,outro,país,fora,brasil,fora,eua,fora,colômbia,fora,todo,mundo,o,povo,é,soberano,,,,,,,,,,,,,,,,,,,,
lider,brasileiro,do,mst,e,petistas,estão,apoiando,maduro,queimando,os,caminhões,com,medicamentos,e,alimentos,e,matando,venezuelanos,de,fome,o,brasil,estaria,assim,se,bolsonaro,não,tivesse,ganho,essa,eleição,se,o,pt,ou,psol,ganhassempobre,brasil,fora,pt,ladrãocomunista,,,,,,,,,,,,,,
já,que,os,venezuelanos,não,podem,sair,de,seu,país,e,retornar,podiamos,fazer,o,mesmo,com,esse,cidadão,foi,pra,lá,que,fique,lá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nós,povo,que,expulsa,venezuelanos,queimando,seus,pertences,aos,frutos,de,fora,do,meu,país,é,o,mesmo,que,agora,apoia,a,ajuda,humanitária,somos,um,bando,de,hipócritas,,,,,,,,,,,,,,,,,,,,,,,,,,,
maduro,só,cai,se,os,militares,venezuelanos,mudarem,de,lado,fora,isso,os,minions,podem,tirar,o,cavalo,da,chuva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cadê,a,china,e,a,rússia,devemos,agir,como,eles,assistir,de,fora,enquanto,maduro,mata,os,venezuelanos,de,fome,eles,também,estão,interessados,nas,riquezas,da,venezuela,coisa,que,o,maduro,dá,de,bom,grato,enquanto,a,população,sofre,,,,,,,,,,,,,,,,
essa,mulher,é,pirada,ou,se,faz,a,miséria,que,nossos,irmãos,venezuelanos,estão,passando,e,ainda,essa,derrota,comunista,concorda,é,isso,que,o,pt,queria,para,o,brasil,graças,à,deus,pt,fora,,,,,,,,,,,,,,,,,,,,,
esquerdista,pt,no,poder,dando,dinheiro,do,bndes,para,a,venezuelashow,é,isso,aí,arrasou,temos,que,ajudar,nossos,irmãos,venezuelanos,pt,fora,do,poder,absurdo,o,brasil,querer,dar,ajuda,humanitária,pra,venezuela,com,tantos,problemas,aqui,pra,quê,ajudar,os,venezuelanos,,,,,,,,,,,,,
naquela,ocasião,foi,um,momenro,extremo,q,alguns,venezuelanos,entraram,numa,casa,assaltaram,e,quase,mataram,um,brasileiro,séria,o,mesmo,se,pegassem,algum,brasileiro,fazendo,o,mesmo,iam,a,forra,e,excessos,acontecem,agora,pegar,uma,coisa,fora,de,contexto,pra,dar,exemplo,é,foda,,,,,,,,,,
a,alternativa,é,simples,china,e,rússia,mandam,maduro,cair,fora,e,ele,cairá,ordenam,as,forças,armadas,a,assumirem,um,lugar,de,garantia,da,ordem,e,deixam,os,venezuelanos,tocarem,a,vida,pronto,o,brasil,não,é,a,solução,embora,possa,entrar,num,caminho,de,algum,protagonismo,,,,,,,,
e,brasileiro,é,tão,bonzinho,que,quando,os,venezuelanos,atravessaram,a,fronteira,procurando,abrigo,aqui,eles,os,colocaram,pra,fora,ao,som,do,hino,e,ainda,tocaram,fogo,nos,pertencentes,dos,imigrantes,agora,querem,ajudar,,,,,,,,,,,,,,,,,,,,,
tds,os,venezuelanos,q,moram,fora,da,venezuela,q,sairam,a,protestar,foi,contra,maduro,mas,certo,está,é,a,extremaesquerda,colocando,sua,ideologia,acima,dos,necessitados,assim,é,a,esquerda,o,povo,q,se,f,,,,,,,,,,,,,,,,,,,,
que,a,venezuela,volte,a,ter,paz,prosperida,que,os,venezuelanos,espalhados,mundo,a,fora,possam,regressar,a,sua,pátria,pictwittercomm0xuqe35vu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fora,maduro,militares,venezuelanos,atiraram,contra,pessoas,em,territorio,brasileiro,isto,é,agressão,ao,brasil,brasil,condena,confrontos,na,fronteira,da,venezuela,e,caráter,criminoso,do,regime,maduro,mundo,g1,https,g1globocommundonoticia,20190224brasilcondenaconfrontosnafronteiraecaratercriminosodoregimemaduroghtml,,,,,,,,,,,,,,,,,,,,,,,
digamos,que,ele,realmente,compre,pq,ouro,sabemos,que,ele,tem,vai,jogar,a,comida,fora,logo,depois,e,nenhum,dis,venezuelanos,qye,precisam,vão,comer,o,inferno,aguarda,ansioso,por,ele,,,,,,,,,,,,,,,,,,,,,,,,
seria,muito,prematuro,e,fora,de,propósito,os,eua,realizarem,uma,intervenção,militar,dentro,da,venezuela,a,questão,da,venezuela,tem,que,ser,resolvida,pelos,venezuelanos,hamilton,mourão,vicepresidente,do,brasil,,,,,,,,,,,,,,,,,,,,,,,,,
eu,gostaria,de,acreditar,nisso,seria,muito,prematuro,e,fora,de,propósito,os,eua,realizarem,uma,intervenção,militar,dentro,da,venezuela,a,questão,da,venezuela,tem,que,ser,resolvida,pelos,venezuelanos,mourão,,,,,,,,,,,,,,,,,,,,,,,,
que,os,militares,venezuelanos,despertem,e,fiquem,do,lado,do,governo,guaido,fora,maduro,ditador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deportar,os,venezuelanos,pra,fora,do,brasil,explicaê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,venezuelanos,são,imigrantes,indesejados,fora,venezuelanos,0000,venezuelanos,precisam,de,nossa,ajuda,vamos,mandar,ajuda,humanitária,https,ultimosegundoigcombrbrasil201808,18refugiadosvenezuelanosagredidosroraimahtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,sirva,de,exemplo,para,os,brasileiros,grande,parte,dos,venezuelanos,fora,enganados,com,bolsa,família,e,minha,casa,minha,vida,dados,pelo,httpwww,msncomptbrnoticias,videosshowporajudahumanit25c325a1ria25c325a0venezuelaatraimultid25c325a3ovibbtxqjg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
os,brasileiros,de,bem,com,guaidó,fora,maduro,força,irmãos,venezuelanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vai,tomar,no,cú,seu,comunista,de,merda,a,culpa,da,fome,e,morte,dos,venezuelanos,é,de,vcs,e,do,ladrão,filho,da,puta,do,lulaoficial,graças,a,deus,nós,brasileiros,lutamos,muito,pra,mandar,vcs,pra,fora,e,o,lula,vai,apodrecer,na,cadeia,vai,tomar,no,cu,,,,,,
essa,aí,é,uma,irresponsável,falar,d,brasil,e,d,governo,brasileiro,e,aplaudindo,um,ditador,sanguinário,criminoso,está,matando,os,seu,povo,d,fome,doenças,fora,as,mortes,à,tiro,amado,d,maduro,sanguináriosenhor,jesus,tenha,misericórdia,dos,seus,filhos,venezuelanos,senhor,jesus,,,,,,,,,,,,
maduro,resiste,agarrado,como,um,carrapato,no,sangue,dos,venezuelanos,um,ditador,sanguinário,que,provocou,enorme,sofrimento,a,seu,povo,fora,maduro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esse,velho,carcumido,só,fala,merda,mais,bandido,que,esse,maduro,são,pessoas,que,estão,de,fora,torcendo,pra,que,ele,mate,mais,cidadãos,venezuelanos,eis,aqui,um,caso,,,,,,,,,,,,,,,,,,,,,,,,,,,
milhões,de,venezuelanos,deixaram,sua,família,na,venezuela,tentar,trabalhar,no,país,que,chega,para,poder,enviar,dinheiro,mas,muitos,dizem,que,são,estrangeiros,e,querem,tirar,seus,empregos,um,sofre,dentro,e,fora,do,país,,,,,,,,,,,,,,,,,,,,
esperamos,que,a,solução,diplomática,aconteça,em,tempo,hábil,a,demora,na,resolução,pra,quem,está,de,fora,pode,ser,aceitável,mas,os,venezuelanos,vivem,o,inferno,na,terra,https,twittercomdavialcolumbre,status1099438269710901249,,,,,,,,,,,,,,,,,,,,,,,,
nosso,coração,e,nossa,decisão,estão,com,nossos,irmãos,venezuelanos,fora,socialismo,assassinos,intervencionmilitarya,pictwittercomssq0crhx1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fernando,aristeguieta,26,é,mais,um,daqueles,venezuelanos,que,saem,de,seu,país,muito,cedo,em,direção,à,europa,seu,amadurecimento,como,artilheiro,parece,fato,consumado,sabe,arrematar,de,dentro,e,fora,da,área,também,é,bom,no,jogo,aéreo,a,evoluir,sua,movimentação,fora,da,área,,,,,,,,,
fora,q,o,governo,brasileiro,até,uma,semana,atrás,tava,pouco,se,lixando,pra,fome,dos,venezuelanos,destratando,os,refugiados,dizendo,q,ia,fazer,campo,de,concentração,foi,só,os,eua,decidirem,intervir,q,virou,benevolente,oferecendo,ajuda,humanitária,isso,é,só,politicagem,,,,,,,,,,,,,
é,facil,fazer,bonito,em,mandar,remedio,e,elimentos,para,os,venezuelanos,feio,é,deixar,de,ajudar,o,povo,aqui,no,brasil,sem,remedios,nas,farmacias,populares,o,sus,uma,merda,sem,falar,que,por,esse,brasil,a,fora,tem,muitas,familias,passando,fome,a,prioridade,é,o,brasil,,,,,,,
não,funciona,assim,ele,vai,ter,que,ser,deposto,de,dentro,pra,fora,ou,seja,por,venezuelanos,com,apoio,internacional,qualquer,intervenção,dos,eua,vai,bater,de,frente,com,rússia,e,china,que,apoiam,maduro,e,já,deram,ultimato,contra,intervenção,militar,estrangeira,,,,,,,,,,,,,
fora,a,péssima,administração,da,economia,venezuelana,houve,uma,pressão,internacional,que,já,atravessa,o,terceiro,ano,seguidas,sanções,impostas,pelos,eua,bloqueio,de,ativos,venezuelanos,pelos,eua,bloqueio,de,capital,originado,de,exportações,da,pdvsa,pelos,eua,,,,,,,,,,,,,,,,,,
é,possível,conflito,na,venezuela,entre,cubanos,prómaduro,e,venezuelanos,para,guerra,fora,das,fronteiras,da,venezuela,não,vejo,motivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
será,que,os,milhões,de,admiradores,da,democracia,venezuelana,iriam,acusálo,de,fazer,o,jogo,do,imperialismo,americano,enquanto,isso,morrem,venezuelanos,em,combates,nas,fronteiras,fora,os,quitão,morrendo,de,fome,no,país,vizinho,,,,,,,,,,,,,,,,,,,,,
tico,dezenas,de,milhares,de,venezuelanos,fugindo,de,lá,para,brasil,colômbia,e,outros,países,trazendo,notícias,morando,em,praças,se,prostituindo,fora,as,imagens,q,de,lá,vemos,animais,de,zoológico,sendo,comidosnada,disso,é,capaz,de,saber,o,q,lá,realmente,acontece,,,,,,,,,,,,
ouvi,parte,do,discurso,desse,psicopata,tá,totalmente,fora,da,casinha,louco,de,pedra,pobres,venezuelanos,sofrerão,as,consequências,dos,desgovernos,bolivarianos,por,décadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coitados,dos,venezuelanos,coitados,nada,foram,vcs,quem,cancelaram,chaves,e,maduro,agora,baixem,a,bola,e,esperem,ajuda,de,fora,do,seu,país,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
não,sei,se,fico,triste,porque,meu,pai,vai,passar,1,mês,fora,de,casa,ou,feliz,porque,ele,vai,por,um,motivo,bom,que,é,ajudar,os,venezuelanos,lá,em,roraima,com,assistência,na,saúde,,,,,,,,,,,,,,,,,,,,
não,sei,se,fico,triste,porque,meu,pai,vai,passar,1,mês,fora,de,casa,ou,feliz,porque,ele,vai,por,um,motivo,bom,que,é,ajudar,os,venezuelanos,lá,em,roraima,,,,,,,,,,,,,,,,,,,,,,,,
um,dos,maiores,sacrilégios,para,o,brasileiro,é,jogar,comida,fora,queimar,um,caminhão,de,comida,para,ajuda,humanitária,é,um,crime,cultural,sem,precedentes,para,nós,deixamos,de,alimentar,sistematicamente,para,ajudar,muitos,brasileiros,para,ajudar,venezuelanos,e,maduro,faz,isto,pictwittercomyo4bmf4w7f,,,,,,,,,,,,,
sigam,a,linda,beca,os,venezuelanos,precisam,muito,de,alimentosremédio,e,principalmente,liberdade,e,já,vou,também,cobrar,fora,ditador,nicolas,maduro,e,23fayaudaylibertad,https,twittercombecabrixstatu,s1099413650257952769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
segundo,a,onu,23,milhões,de,venezuelanos,vivem,fora,da,venezuela,só,de,colombianos,a,venezuela,abriga,5,milhões,quem,será,que,precisa,de,ajuda,humanitária,httpswww,brasildefatocombr20170831com,5milhoesdecolombianosnoterritoriovenezuelafirmacompromissocommigrantes,,,,,,,,,,,,,,,,,,,,,,,,,,,
